Retraining 186 models with 15 features...
Features: ['RSI_14', 'MACD', 'BB_pct', 'BB_width', 'vol_ratio', 'dist_SMA50', 'mom_5d', 'mom_20d', 'overnight_gap', 'vol_price_div', 'mean_rev_z', 'vol_regime', 'rsi_divergence', 'body_ratio', 'ret_skew']

CoinGecko market_chart for ETH-USD: 180 candles, latest $2,019.26
CoinGecko market_chart for XRP-USD: 180 candles, latest $1.35
CoinGecko market_chart for BNB-USD: 180 candles, latest $615.67
CoinGecko market_chart for BTC-USD: 180 candles, latest $66,750.72
CoinGecko market_chart for DOGE-USD: 180 candles, latest $0.09
CoinGecko market_chart for SOL-USD: 180 candles, latest $83.21
[1/186] ✓ SOL-USD: 131 rows, classes=['BUY', 'HOLD', 'SELL']
[2/186] ✓ ETH-USD: 131 rows, classes=['BUY', 'HOLD', 'SELL']
[3/186] ✓ DOGE-USD: 131 rows, classes=['BUY', 'HOLD', 'SELL']
[4/186] ✓ BTC-USD: 131 rows, classes=['BUY', 'HOLD', 'SELL']
[5/186] ✓ BNB-USD: 131 rows, classes=['BUY', 'HOLD', 'SELL']
[6/186] ✓ XRP-USD: 131 rows, classes=['BUY', 'HOLD', 'SELL']
CoinGecko insufficient data for ADA-USD: 0 points
CoinGecko insufficient data for DOT-USD: 0 points
CoinGecko insufficient data for LINK-USD: 0 points
CoinGecko insufficient data for MATIC-USD: 0 points
CoinGecko insufficient data for AVAX-USD: 0 points
CoinGecko insufficient data for LTC-USD: 0 points
[7/186] ✓ MATIC-USD: 679 rows, classes=['BUY', 'HOLD', 'SELL']
[8/186] ✓ LINK-USD: 1048 rows, classes=['BUY', 'HOLD', 'SELL']
CoinGecko insufficient data for ATOM-USD: 0 points
[9/186] ✓ DOT-USD: 1048 rows, classes=['BUY', 'HOLD', 'SELL']
[10/186] ✓ AVAX-USD: 1048 rows, classes=['BUY', 'HOLD', 'SELL']
[11/186] ✓ ADA-USD: 1048 rows, classes=['BUY', 'HOLD', 'SELL']
[12/186] ✓ LTC-USD: 1048 rows, classes=['BUY', 'HOLD', 'SELL']
CoinGecko insufficient data for NEAR-USD: 0 points
CoinGecko insufficient data for OP-USD: 0 points
CoinGecko insufficient data for INJ-USD: 0 points
[13/186] ✓ APT-USD: 654 rows, classes=['BUY', 'HOLD', 'SELL']
[14/186] ✓ ARB-USD: 593 rows, classes=['BUY', 'HOLD', 'SELL']
CoinGecko insufficient data for FET-USD: 0 points
[15/186] ✓ ATOM-USD: 1048 rows, classes=['BUY', 'HOLD', 'SELL']
[16/186] ✓ NEAR-USD: 1048 rows, classes=['BUY', 'HOLD', 'SELL']
[17/186] ✓ OP-USD: 1048 rows, classes=['BUY', 'HOLD', 'SELL']
[18/186] ✓ INJ-USD: 1048 rows, classes=['BUY', 'HOLD', 'SELL']
[19/186] ✓ RENDER-USD: 1048 rows, classes=['BUY', 'HOLD', 'SELL']
[20/186] ✓ ^GSPC: 704 rows, classes=['BUY', 'HOLD', 'SELL']
[21/186] ✓ FET-USD: 1048 rows, classes=['BUY', 'HOLD', 'SELL']
[22/186] ✓ ^IXIC: 704 rows, classes=['BUY', 'HOLD', 'SELL']
[23/186] ✓ ^DJI: 704 rows, classes=['BUY', 'HOLD', 'SELL']
[24/186] ✓ ^RUT: 704 rows, classes=['BUY', 'HOLD', 'SELL']
[25/186] ✓ ^VIX: 705 rows, classes=['BUY', 'HOLD', 'SELL']
[26/186] ✓ ^FTSE: 705 rows, classes=['BUY', 'HOLD', 'SELL']
[27/186] ✓ ^N225: 686 rows, classes=['BUY', 'HOLD', 'SELL']
[28/186] ✓ ^GDAXI: 714 rows, classes=['BUY', 'HOLD', 'SELL']
[29/186] ✓ ^HSI: 688 rows, classes=['BUY', 'HOLD', 'SELL']
[30/186] ✓ SPY: 704 rows, classes=['BUY', 'HOLD', 'SELL']
[31/186] ✓ QQQ: 704 rows, classes=['BUY', 'HOLD', 'SELL']
[32/186] ✓ IWM: 704 rows, classes=['BUY', 'HOLD', 'SELL']
[33/186] ✓ SLV: 704 rows, classes=['BUY', 'HOLD', 'SELL']
[34/186] ✓ GLD: 704 rows, classes=['BUY', 'HOLD', 'SELL']
[35/186] ✓ TLT: 704 rows, classes=['BUY', 'HOLD', 'SELL']
